Matrix Dimension= 161
List of nonzero entries: I , J , A(I,J)
0	0	1.90189
0	1	-0.307952
0	4	-0.327864
0	5	-0.142469
0	6	-1.12361
1	0	-0.307952
1	1	2.01911
1	3	-0.408296
1	5	-1.27332
1	8	-0.0295389
2	2	1.99303
2	3	-0.399787
2	10	-0.418296
2	11	-1.17494
3	1	-0.408296
3	2	-0.399787
3	3	1.87563
3	8	-0.960191
3	11	-0.107356
4	0	-0.327864
4	4	1.78869
4	6	-0.043215
4	7	-0.338829
4	12	-0.22183
4	13	-0.856951
5	0	-0.142469
5	1	-1.27332
5	5	4.01147
5	6	-0.831079
5	8	-0.686357
5	15	-1.07824
6	0	-1.12361
6	4	-0.043215
6	5	-0.831079
6	6	3.98827
6	13	-1.15108
6	14	-0.648524
6	15	-0.190775
7	4	-0.338829
7	7	1.7254
7	12	-0.666436
7	16	-0.201679
7	17	-0.518453
8	1	-0.0295389
8	3	-0.960191
8	5	-0.686357
8	8	3.71581
8	11	-0.689683
8	15	-0.438687
8	19	-0.91135
9	9	1.79961
9	10	-0.103062
9	18	-0.11105
9	20	-0.76842
9	21	-0.817078
10	2	-0.418296
10	9	-0.103062
10	10	1.8791
10	11	-0.139893
10	20	-1.01177
10	22	-0.206072
11	2	-1.17494
11	3	-0.107356
11	8	-0.689683
11	10	-0.139893
11	11	3.87909
11	19	-0.0149342
11	22	-0.762241
11	23	-0.990041
12	4	-0.22183
12	7	-0.666436
12	12	3.64678
12	13	-1.09881
12	17	-0.461006
12	24	-0.634748
12	25	-0.563957
13	4	-0.856951
13	6	-1.15108
13	12	-1.09881
13	13	3.89593
13	14	-0.482353
13	25	-0.306745
14	6	-0.648524
14	13	-0.482353
14	14	3.67587
14	15	-0.414308
14	25	-1.07977
14	26	-0.557549
14	27	-0.493371
15	5	-1.07824
15	6	-0.190775
15	8	-0.438687
15	14	-0.414308
15	15	3.60302
15	19	-0.577621
15	27	-0.385842
15	28	-0.517539
16	7	-0.201679
16	16	2.18617
16	17	-1.40908
16	29	-0.575411
17	7	-0.518453
17	12	-0.461006
17	16	-1.40908
17	17	3.95565
17	24	-0.645561
17	29	-0.0175327
17	30	-0.904015
18	9	-0.11105
18	18	1.79462
18	21	-0.786262
18	31	-0.11105
18	32	-0.786262
19	8	-0.91135
19	11	-0.0149342
19	15	-0.577621
19	19	3.84843
19	23	-1.18656
19	28	-0.3533
19	33	-0.804667
20	9	-0.76842
20	10	-1.01177
20	20	3.86321
20	21	-0.214542
20	22	-1.04145
20	35	-0.827025
21	9	-0.817078
21	18	-0.786262
21	20	-0.214542
21	21	3.65825
21	32	-0.222156
21	35	-0.816362
21	36	-0.80185
22	10	-0.206072
22	11	-0.762241
22	20	-1.04145
22	22	3.86729
22	23	-0.346184
22	35	-0.362624
22	37	-1.14871
23	11	-0.990041
23	19	-1.18656
23	22	-0.346184
23	23	3.76418
23	33	-0.294773
23	37	-0.489066
23	38	-0.457556
24	12	-0.634748
24	17	-0.645561
24	24	3.55263
24	25	-0.592767
24	30	-0.715358
24	39	-0.293438
24	40	-0.670762
25	12	-0.563957
25	13	-0.306745
25	14	-1.07977
25	24	-0.592767
25	25	3.63424
25	26	-0.662538
25	40	-0.428471
26	14	-0.557549
26	25	-0.662538
26	26	3.63478
26	27	-0.57785
26	40	-0.303954
26	41	-0.944199
26	42	-0.588692
27	14	-0.493371
27	15	-0.385842
27	26	-0.57785
27	27	3.69213
27	28	-1.23625
27	42	-0.514366
27	43	-0.484451
28	15	-0.517539
28	19	-0.3533
28	27	-1.23625
28	28	3.91134
28	33	-0.587276
28	34	-1.14484
28	43	-0.0721384
29	16	-0.575411
29	17	-0.0175327
29	29	1.83614
29	30	-0.378752
29	45	-0.354314
29	46	-0.510128
30	17	-0.904015
30	24	-0.715358
30	29	-0.378752
30	30	3.71061
30	39	-0.338745
30	44	-0.978379
30	46	-0.395359
31	18	-0.11105
31	31	1.79961
31	32	-0.817078
31	48	-0.76842
31	49	-0.103062
32	18	-0.786262
32	21	-0.222156
32	31	-0.817078
32	32	3.65825
32	36	-0.80185
32	48	-0.214542
32	51	-0.816362
33	19	-0.804667
33	23	-0.294773
33	28	-0.587276
33	33	3.63662
33	34	-0.611776
33	38	-0.949075
33	55	-0.389052
34	28	-1.14484
34	33	-0.611776
34	34	3.96209
34	43	-0.888738
34	54	-1.0836
34	55	-0.233143
35	20	-0.827025
35	21	-0.816362
35	22	-0.362624
35	35	3.67284
35	36	-0.450795
35	37	-0.269989
35	56	-0.946041
36	21	-0.80185
36	32	-0.80185
36	35	-0.450795
36	36	3.63257
36	51	-0.514051
36	56	-0.269989
36	57	-0.794037
37	22	-1.14871
37	23	-0.489066
37	35	-0.269989
37	37	3.71497
37	38	-0.86323
37	56	-0.639023
37	58	-0.304945
38	23	-0.457556
38	33	-0.949075
38	37	-0.86323
38	38	3.64163
38	55	-0.60073
38	58	-0.593847
38	59	-0.177187
